Date,Comment,Like,Dislike
"Jan 21, 2020",乇乂丅尺卂 丅卄工匚匚,1953,13
"Jan 21, 2020",THICC LITTLE PEAR lol 🍐🍐🍐,1886,9
"Jan 28, 2020",and they were roomates-,1379,4
"Jan 21, 2020",I love the way he said dayum,1193,3
"Jan 21, 2020",I love how she’s talking. It reminds me of Starfire from the old Teen Titan cartoon,817,1
"Jan 22, 2020",I can hear “EXTRA THICC” echoing in this scene,632,2
"Jan 28, 2020",It’s mister Yoons rule all over again and we know it’s gonna be broken 😏,627,0
"Jan 21, 2020",the cat knows 😏,560,1
"Jan 28, 2020",He like: she's thicc?! and she looks like a little pear!  and the cat like: ohh i see what were you thinking ;),404,4
"Jan 21, 2020",DESTROY NUMBER THREE (we all know it will be destroyed anyway 😏),297,1
"Jan 28, 2020",Old Version: Collarbone Fetish - New Version: Thigh Fetish,228,4
"Jan 28, 2020",Daniel yoon said no feelings but he already yeeted that out so F*CK RULE 3,184,2
"Jan 28, 2020","what's that Nick Fury quote ""I acknowledge the council's decision but given that it's a stupid decision, I have decided to ignore it""",175,0
"Jan 28, 2020",Love the not Dance Gavin Dance T-shirt!,154,0
"Jan 28, 2020",rule 4: ignore rule 3,155,1
"Jan 28, 2020",Thicc Thighs Save Lives,109,1
"Jan 28, 2020",Aww kinda disappointed that I didn’t get to see her try to undress in front of him and her eating soap in the shower from discover :(,94,1
"Jan 21, 2020",Pfft. feelings gon happen when feelings gon happen,81,1
"Jan 28, 2020",My boi: Rule #3 no feelings || Earlier: Dayumm she thicc || Me: BOI WDYM! YOU LITERALLY JUST SAID THAT SHE WAS THICC AND DONT LIE U WAS BLUSHING H A R D,62,1
"Jan 21, 2020",You’re getting bad vibes because you left an alien who knows almost nothing about your planet by herself in your house XD. You SHOULD be having bad vibes right now XD.,95224,202
"Jan 21, 2020","Oh Kade..your house is about to get blown up Edit: My first ever top comment on Webtoon, holy shit😳😄😁",53031,341
"Jan 21, 2020",“You are very ugly.” *SPLURT!!* LMFAO SAME KADE.,23547,58
"Jan 21, 2020",Her raw English reminds me of starfire,1599,8
"Jan 21, 2020",Zaida: “You are very ugly” kade: hello darkness my old friend..,1395,6
"Jan 21, 2020","I meant unique, I swear",871,2
"Jan 21, 2020",“You are very ugly” this Webtoon is a goldmine,769,1
"Jan 21, 2020","Please take note, I am not ugly, I am unique 😂",548,2
"Jan 22, 2020",Zaida is literally a rated R version of starfire.,374,5
"Jan 21, 2020",“You are a bit ugly-“ me: I know,371,2
"Feb 04, 2020",I just hope the cat gets fed...,345,1
"Feb 04, 2020",“I’m getting bad vibes” house blows up behind him,273,1
"Jan 21, 2020",I really like his sleeve. I legit might get that tattoo in the future.,195,6
"Feb 04, 2020",I cant be the only one who reads her dialogue in Starfire's voice,173,1
"Jan 21, 2020",I wonder what that sign she does with her hand means,146,2
"Feb 04, 2020",Maybe because you left an alien by herself who knows literally nothing about the Earth and on top of that you left her to take care of your precious cat...but you know that's just a theory,124,1
"Feb 04, 2020","I’m sitting here wondering how can he afford a nice car, live by himself in a spacious looking house, own a cute cat, and feed himself on a cashier budget!? I can handle the sexy magical alien girl but how can you afford your place, mistah!",97,1
"Jan 21, 2020","ah yes I am familiar with that look ""unique""",70,1
"Jan 21, 2020","""You are very ugly"" Me on a daily basis",64,1
"Feb 04, 2020","You basically did the equivalent of leaving a five year old by herself and was like “hey, don’t set the house on fire.”",53,0
"Jan 22, 2020","Well, all things considered I’ll be impressed if the house is not on fire when he comes back.",53,0
"Feb 04, 2020","""you are very ugly"" ""OH MAH STARS I MEANT UNIQUE"" who says unique in that face? (what I'm saying is look at her face when she says""u r very ugly"" and replace unique)",39,0
"Jan 21, 2020","Zadia: ""how lewd!"" *proceeds to be horny on main*",122778,266
"Jan 21, 2020","*Offended*  ""Why does he have such lewd images?""  *keeps looking*",101888,160
"Jan 21, 2020","ah man i used my coins just to read through this story again (read the old one before it was a original) and i love seeing you doingit  again, keep up the awesome work pookie",37515,243
"Jan 21, 2020",Kade that battery percentage for social interactions...I feel that in my soul.,3050,3
"Jan 21, 2020",I SMELL AN EX GIRLFRIEND BOX!,2180,2
"Jan 21, 2020",BRO! What if she could communicate with the cat! Think about it! She learned kades language! What if she does the same with the cat! Oml I love this story and can’t wait!!!!!!,1185,1
"Jan 22, 2020",STAR BOOM! I CANT GET OVER THESE OBVIOUS REFERENCES,905,4
"Feb 11, 2020","Me, the introvert, relating to his battery percentage",665,0
"Jan 21, 2020",Zaida: Booty booty Booty booty and... more booty,505,3
"Jan 21, 2020",Kade at his job is the most relatable thing omg,482,2
"Feb 11, 2020",""" Is kade a pervert? "" *proceeds to be a gay alien and look more at the lewd photos*   ( okay but I felt this on a spirtual level LMAOOOOOOOO )",399,8
"Feb 11, 2020",the cat protected her innocence all hail Cosmo,188,0
"Jan 21, 2020",Don't even care anymore take all my coins Pookie!!  Seriously love the way the manager never gets his name right 🤣,151,2
"Jan 25, 2020","omg a star bomb shirt, game grumps confirmed as DLC",141,2
"Feb 11, 2020","A ""Star Bomb"" reference!? 10/10 Webtoon",112,1
"Jan 22, 2020",who else reads this with starfires voice,87,0
"Jan 22, 2020",STARBOMB!!!,84,1
"Jan 21, 2020",Never thought I'd see a Starbomb reference.  Hella cool!,66,0
"Feb 13, 2020",ugh all the top comments are about the lewd part and not the box SERIOUSLY THO,58,0
"Feb 11, 2020",STARBOMB!,44,0
"Jan 21, 2020",WHO ELSE SPENDS COINS BECAUSE THEY CANNOT BEAR TO STOP READONG omg this is so good btw🥺💗,37,0
"Feb 11, 2020",the Starbomb and dance Gavin Dance references,34,0
"Jan 22, 2020",star bomb check yeah,30,0
"Jan 28, 2020",Well she's gonna be an angel cuz Kade's about to kill her 😂,147345,237
"Jan 28, 2020",Kade.exe has stopped working please try again,103297,181
"Jan 28, 2020","F to pay respects Replies 1,424 91126 261 Christopher Escobedo Jan 28, 2020 QUICK GET THE RICE",5235,7
"Jan 28, 2020",KADE HAS THE HOTS ALREADY HE WANTED TO SEE HER IN CUTE LITTLE ANGLE OUTFIT,2742,7
"Jan 28, 2020","It’s ok, the PS5 is coming out soon. Bear with it, soldier.",2320,14
"Jan 29, 2020",911? yeah I'ma about to commit a murder in the name of revenge..,1741,6
"Jan 28, 2020",i felt that in my soul...,1210,1
"Feb 12, 2020","girl, the esc button is on the top row of the keyboard, I suggest you use it now.",1116,1
"Jan 28, 2020",Kade: “I wonder if she is size Thicc or size Thiccc?”,1011,8
"Feb 16, 2020",My face was like😬,874,1
"Jan 28, 2020",Aahhhhh yes. The old throw the Xbox in the sink and wash out the broken parts technique,662,2
"Jan 28, 2020",Kade is a mood,626,1
"Jan 28, 2020","ugh, such a pure little soul.",485,2
"Jan 28, 2020",Oh ho ho ho you have made a grave mistake young woman,466,1
"Jan 28, 2020",QUICK SOMEONE GET THAT MAN A JUMBO ZIPLOCK BAG AND A TON OF RICE STAT!!!!,394,1
"Feb 18, 2020",Please don’t kill her.,268,2
"Feb 04, 2020",This is exactly why I hate clothes shopping as a pear shape. Sizing can be so difficult!,243,1
"Jan 28, 2020",R.I.P to his one and probably only baby... my it Rest In Peace,198,0
"Jan 28, 2020","As a avid science and tech person, and as a gamer with Highfunctioning autism.  I wouldn’t care so much about the system than about my environment being disrupted.",190,6
"Feb 18, 2020",RED ALERT RED ALERT! MAN IS ABOUT TO SPIKE ALIEN GIRL BACK INTO SPACE!,142,0
"Jan 28, 2020",The precious child has drowned...,117,0
"Feb 18, 2020","As a gamer myself, I just cried a little and my heart chipped a bit, but I can’t blame this beautiful pear for not understanding that water and “precious child” don’t mix well 😭  EDIT: DUDE... my ps4 pro is taking a poop on me cause I’m a terrible owner and never clean out the dust that’s probably accumulated 😭 my “precious child” isn’t safe from any elements! 😱 lol",111,0
"Feb 04, 2020",If aliens are shaped like her sign me up for the invasion,126595,1087
"Feb 04, 2020",Kade you tell her not to catch feelings but you do bullsh!t like this,92639,345
"Feb 04, 2020",Awe. You know when you're an introvert and you've found the one when they don't drain you but instead recharge you. Such a rare and beautiful find in this world 😭,56277,163
"Feb 04, 2020",kade be trying to clap alien cheeks😂😂,1832,45
"Feb 04, 2020","I feel like Kade and Zadia are the only two moods I ever feel (apart from shrek , which I live and breathe)",1261,12
"Feb 04, 2020","duuuuude zaida FIESTY in this one. I think it’s an interesting addition to her character. I want to see more of zaida being smart and stuff, since she’s an alien and she has a SHIP you gotta have some elon musk stuff goin on up there. And i like that even though she was scared she stood up for herself, MAD LAD",863,3
"Feb 06, 2020",Rule 3: *exists* Literally everyone: YEEEEET,814,2
"Feb 04, 2020",Pizza guy: Kade right?  No this is Patrick,596,0
"Feb 04, 2020",awe looks like kade is already breaking the “no catching feelings rule”🥺🙈,445,3
"Feb 25, 2020",He's H O R N Y,319,7
"Feb 04, 2020",You know I was aaaallll proud of myself. I held off on paying for previews. Saw you updated and what happens? I decided to buy the next one. What's the worst that can happen? Then you go on ahead show me Starbomb shirts and cute chicks buying Satan night gowns! Thanks a lot jackass! I'll be here next week with 5 more coins. I hope you're proud of yourself.,237,1
"Feb 04, 2020","aliens like pizza, noted",223,0
"Feb 25, 2020",She is a bundle of sunshine and rainbows and she must be protected.,184,0
"Feb 04, 2020",the THICC grants one energy,158,0
"Feb 04, 2020",And this is why it is important to find someone who helps charge your social battery it is an important aspect of a life partner,134,0
"Feb 04, 2020",Okay guys it’s time to start building my ship hmmm where’s my hammer,113,0
"Feb 26, 2020","Kade: It's for, ugh, you know. Zaida: You have boobs too?",99,0
"Feb 04, 2020",My new obsession 😍🥰,99,1
"Mar 31, 2020",Hate it when guys in comics corner women like that. It's a stupid intimidation tactic and I will fight anyone who would ever try to pull that with me,100,3
"Feb 27, 2020","""no feelings"" buys her sexy nightgown",76,0
"Mar 03, 2020",Does anyone else imagine her voice as Starfire's from Teen Titans?,70,0
"May 19, 2020","GOD I hate it when boys in comics say dumb shit like ""men are dangerous y'know and I cOuLd bE oNe oF tHeM"" like okay thanks for reminding me that men are potentially rapist and that I could be harassed at any time ""if I'm not careful"" I really appreciate it",71,4
"Feb 11, 2020",did anyone else notice he wiped the icing off zaida and licked it? the ship sails ♡,131464,301
"Feb 11, 2020",Kade’s getting distracted by that clavicle. 😍,75674,330
"Feb 11, 2020","Aww!! You know i just adore Zadia’s eyes and how they light up when she’s excited! Great job, Pookie Senpai! Can’t wait for the next update!!",66609,176
"Feb 11, 2020","I assume everyone is reading Zaida's lines in Starfire's voice, right?",3220,27
"Feb 11, 2020",Kade knows how to do a girls hair better than I do....~{•~•}~,2155,3
